#,Address,Type,Balance,Percent
1,0x72fb950f136b40706c7de88f8a11a023156f2238,Account,"970,538,016.38",96.84%
2,0x871390582b3c7fa18d8afc18e551be09f522ec47,Account,"15,347,640.01",1.53%
3,0x258e6776a65fb2dc7113b3948a00e4ef1962bd7d,Account,"5,000,000.00",0.50%
4,0x0a91dafe9046b70690324d18e5ce56e0f79f8339,Account,"3,750,000.00",0.37%
5,0x628ba7961c23574dfdfd07b0a4a470b04ec3a174,Account,"1,317,120.32",0.13%
6,0x17b7ee40e1af97b00f690d8cb547880eb8263cc6,Account,"1,311,659.04",0.13%
7,0x7a82c7b6f617617eb1410140d66d6dfd955d8c97,Account,"1,309,629.57",0.13%
8,0x6d278076bcd4ac3e91b3658d998a5f7d355b1a55,Account,"1,299,017.55",0.13%
9,0x1300b595d18edee442dbeed51f9f291235828db6,Account,"1,004,238.38",0.10%
10,0x04c3924b6aaad6fcc3d131a0a785f78883eaffe7,Account,"285,337.65",0.03%
11,0x196facabb6512c8343ffa8bca4c0174d7b301ff9,Contract,"254,760.87",0.03%
12,0x1051cf17db36fc5c86adfb67c77d9a5b8d60d0ad,Account,"249,999.90",0.02%
13,0x149f45f09ac679eed8d6083483dedb24d6c6ba88,Account,"200,004.95",0.02%
14,0x80b71cf4f1201e0bbc67cb68da938868ce3c464c,Account,"114,896.00",0.01%
15,0xcd371e6ee9dbc386f85b8eab0c9711368d404618,Account,"60,000.99",0.01%
16,0x2d5cc137ff1c86f5bc58bcab206a847ad0af9c3a,Account,"59,124.66",0.01%
17,0x4450e4267c673c24641a9b482fcf07aa5021ba19,Account,"49,999.90",0.01%
18,0x4dea573920e5ed7f99ac86795f2daaf8fd72bd8b,Account,"28,096.15",0.00%
19,0x95cb36ebc86dc8e33b3633551b37cbc5db3d963b,Account,"16,497.21",0.00%
20,0x9870be9e5c87e3fab0ca714be8c236aa7e5a43ee,Account,"14,999.90",0.00%
21,0x6ddcfffbe9c9803497596ccc3b29a52f0b2db7dd,Account,"12,950.85",0.00%
22,0xdc5c8018e5b57bb7b6cba6ea11c07174c2eb3380,Account,"6,620.24",0.00%
23,0x26690dd321a765e2333e73208f2208bef8ffac00,Account,"3,876.58",0.00%
24,0xf30431d4e31e6e54d9338eb8f54da5eceadc4cb4,Account,"2,198.00",0.00%
25,0xfcc975efc6a401a42b71b92176b05bbf6072a797,Account,"1,799.89",0.00%
26,0xf0988bed526a4c30b5282d9e4f49c6ac25d9144b,Account,"1,014.97",0.00%
27,0xe582794320fa7424a1f9db360a46446244065cb5,Account,669.8097,0.00%
28,0x917c0838af8dda54bfa1607a1c202b3a9feca6eb,Account,260,0.00%
29,0xef1983ddeadebe6fcfc703daa046c9f118c63661,Account,99.9999,0.00%
30,0x97e6af105a1061975fda6c6d0e7544b7c3600ebc,Account,99,0.00%
31,0xa12fbfc4e85f658cf4f2674c81b497e9213a9217,Account,70,0.00%
32,0xf8332fb4e46d658fcfae81ac8df2915761325046,Account,53,0.00%
33,0x6fab0f0d9b9e700729a6031cc39ee65d01495b00,Account,14.88,0.00%
34,0x7ee1035deb7fa7b3255a214ef654a5635b7a2f60,Account,4.22,0.00%
35,0x6640445330fc6662b1ce4d2dbd9a1c82e6d5b326,Account,1.000041,0.00%
36,0xfb12c35648a61f83eccf368bf0113f7175b2f619,Account,1,0.00%
37,0x298b51e8812da8b0fabfcebb524715ea1a94318f,Account,1,0.00%
38,0x4071da52be208af9b5db9cb5041d1107b82ac505,Account,0.61,0.00%
39,0xfe9076ebf11efc63cfaba1f815a5f80116d7d2f2,Account,0.13107482,0.00%
40,0xa34bce915e213655c1f4a7ebe18329fb894caa78,Account,0.1,0.00%
41,0xcb660dd9842e65cf07f7fc9c2f718b757d8534af,Account,0.1,0.00%
42,0x6d3228a26e794ed6461f1b1be302fa2c9f2c9296,Account,0.1,0.00%
43,0xbf3c9eca4eb56d738003826ed846f22dc419e5eb,Account,0.1,0.00%
44,0x596f8d223cba8da032a294aed039f63aa824f242,Account,0.1,0.00%
45,0x75d06ff9ad05d82df96aad2a8b6195b90015cc9b,Account,0.1,0.00%
46,0x59b6e3ac29f6fa49d9b3fb2a04b0b64da60b5db8,Account,0.1,0.00%
47,0xed912251c5b8862378b33a77bd5fe08dff4d63ec,Account,0.05999987,0.00%
48,0x4243f2adc8839aba4db68539145f825b24c8805e,Account,0.010168,0.00%
49,0xf510b7aca41b85a41cb7de31cf515e8ecba8e294,Account,0.01,0.00%
50,0xfdc218c225334602aeb1fe47170af90e9fdb1a50,Account,0.01,0.00%
51,0xfe19e0bc9c2c40c6c4e96ed7ece7de366516a90a,Account,0.01,0.00%
52,0x538a8c5bccb8941740731a60c553de893fe6315f,Account,0.01,0.00%
53,0xe7632e0b5ddfe51c1aed90989203caea985d0505,Account,0.0099999,0.00%
54,0x8569b150b563a41f6bf5b05c98b5612d64a14e7f,Account,0.00105,0.00%
55,0x9ad5a70a6993a8d4d070a4f3b1dd633e720f670f,Account,0.000966,0.00%
56,0x1d6e8b7bcad1c2cc89681a78ab95a84cce3fd77d,Account,0.00021,0.00%
57,0xb517bac94908d964c28c3535b8bdbacc9fa9c28c,Account,0.0001155,0.00%
58,0x4dbb1a53cf40120b592e8ae146e346f59b3fe94b,Account,0.000063,0.00%
59,0x8708aec567bdff13e1c3534cc2111670f3604b3f,Account,0.000042,0.00%
60,0xc1d7c17450e6a4c7093d69245b436e4648b09f8c,Account,0.0000315,0.00%
61,0xf615f0b0d3f7190cebb12a5b6d56fda682f76b48,Account,0,0.00%
62,0x50bd51b7edf269186a6b7f7f5b08a6ee39c56a63,Account,0,0.00%
63,0x47e3cbeaab9db5dff35dcbe1e3930d614fc4cf49,Account,0,0.00%
64,0x60c1821e30fc18edcaa1763d8212ddf267761c33,Account,0,0.00%
65,0x73c9ff1452676b356f676e4aac40d419dd2bf382,Account,0,0.00%
66,0x15d44fb1039160ccba3373942be7389c0a548de6,Account,0,0.00%
67,0x08d25d3b5de7175aa2cc325d82884842bc38f4af,Account,0,0.00%
68,0x340a137d8c0cc1daca1c67ce206408e7c3e9d80b,Account,0,0.00%
69,0x774767c7182089080a30b4016f4fb8f5134d1039,Contract,0,0.00%
70,0x0b383f5af44fc9c2d04fa1ad1934a5509cff37e2,Contract,0,0.00%
71,0xba814ef7615c47ee593b2fcea43755b9f3c140b5,Account,0,0.00%
72,0x600db8a9c9ad59e996d5df81f16db57798fe86f2,Account,0,0.00%
73,0xf9c172ad9d1a991240f6f133857e4f705fb2cc47,Account,0,0.00%
74,0x564b64caaf1cc233003182e57c1ff53272b89539,Account,0,0.00%
75,0x91fdff5c309c68135c395eefa252c2b3bc2e5d2c,Account,0,0.00%
76,0x010fa049d555836403dba25b8885e3562e040654,Account,0,0.00%
77,0x0940d2e02b0b3726157e917e365299203adcc050,Account,0,0.00%
78,0x0a3927841b3db675cd9bb847a54dad5b92eef290,Account,0,0.00%
79,0x745fea31bacf5493a5064d8a8302e82886127220,Account,0,0.00%
80,0x8791cce947b4427e1eb1aa339e09db27adc6cd21,Account,0,0.00%
81,0x9a8fec6662877fae9e900e8af4223a26e36e42ba,Account,0,0.00%
82,0xc2cd9232d11c2df8938689ba3f9d6509738f511a,Account,0,0.00%
83,0x68a0afc397b8725bfeea8026520d52825aba0fb7,Account,0,0.00%
84,0xac192a5eb6f189b3e960a5939c044a6d61273e72,Account,0,0.00%
85,0xc0dd10ef6d8fc5158d32d6969ab22bf1bf26260f,Account,0,0.00%
86,0x0000000000000000000000000000000000000022,Account,,0.00%
87,0x55a56f40d873e88773dbd5497a1c816d6362d972,Account,,0.00%